Local name,Distance,Geom,geometry,Lat,Long
Aldeia do Vale,8.7,POINT (-49.1996666 -16.6050087),POINT (-49.1996666 -16.6050087),-49.1996666,-16.6050087
Alphaville Flamboyant Residencial Araguaia,3.8,POINT (-49.2131586 -16.6986528),POINT (-49.2131586 -16.6986528),-49.2131586,-16.6986528
Bairro Capuava,6.6,POINT (-49.3232214 -16.6556515),POINT (-49.3232214 -16.6556515),-49.3232214,-16.6556515
Bairro Feliz,3.0,POINT (-49.2285538 -16.6620997),POINT (-49.2285538 -16.6620997),-49.2285538,-16.6620997
Bairro Santo Hilário,6.1,POINT (-49.1954757 -16.6507974),POINT (-49.1954757 -16.6507974),-49.1954757,-16.6507974
Chácara Mansões Rosa de Ouro,9.5,POINT (-49.3372251 -16.639185),POINT (-49.3372251 -16.639185),-49.3372251,-16.639185
Chácara Maria Dilce,7.8,POINT (-49.3089609 -16.6314982),POINT (-49.3089609 -16.6314982),-49.3089609,-16.6314982
Chácara Rio Branco,7.0,POINT (-49.2869162 -16.6251235),POINT (-49.2869162 -16.6251235),-49.2869162,-16.6251235
Chácara do Governador,6.3,POINT (-49.2205518 -16.7287318),POINT (-49.2205518 -16.7287318),-49.2205518,-16.7287318
Chácaras Alto da Glória,4.8,POINT (-49.2320965 -16.7191613),POINT (-49.2320965 -16.7191613),-49.2320965,-16.7191613
Chácaras Botafogo,5.1,POINT (-49.2053663 -16.67317),POINT (-49.2053663 -16.67317),-49.2053663,-16.67317
Chácaras Califórnia,7.8,POINT (-49.2713182 -16.6100807),POINT (-49.2713182 -16.6100807),-49.2713182,-16.6100807
Chácaras Elísios Campos,2.4,POINT (-49.23380539475826 -16.66542905),POINT (-49.23380539475826 -16.66542905),-49.233805394758264,-16.66542905
Chácaras Nossa Senhora da Piedade,8.7,POINT (-49.20615811768457 -16.60803935),POINT (-49.20615811768457 -16.60803935),-49.20615811768457,-16.60803935
Chácaras Retiro,3.4,POINT (-49.2228071 -16.6569483),POINT (-49.2228071 -16.6569483),-49.2228071,-16.6569483
Chácaras Santa Bárbara,5.5,POINT (-49.201743 -16.6663342),POINT (-49.201743 -16.6663342),-49.201743,-16.6663342
Chácaras São Francisco de Assis,4.0,POINT (-49.215991 -16.691562),POINT (-49.215991 -16.691562),-49.215991,-16.691562
Colônia Santa Marta,6.1,POINT (-49.1925659 -16.6874935),POINT (-49.1925659 -16.6874935),-49.1925659,-16.6874935
Conjunto Caiçara,4.9,POINT (-49.2106279 -16.6505474),POINT (-49.2106279 -16.6505474),-49.2106279,-16.6505474
Conjunto Fabiana,6.7,POINT (-49.2157024 -16.7293894),POINT (-49.2157024 -16.7293894),-49.2157024,-16.7293894
Conjunto Habitacional Aruanã I,5.0,POINT (-49.2048309 -16.6884311),POINT (-49.2048309 -16.6884311),-49.2048309,-16.6884311
Conjunto Habitacional Aruanã II,5.4,POINT (-49.201786 -16.6933707),POINT (-49.201786 -16.6933707),-49.201786,-16.6933707
Conjunto Palmares,5.7,POINT (-49.2106772 -16.6477963),POINT (-49.2106772 -16.6477963),-49.2106772,-16.6477963
Conjunto Residencial Aruanã III,5.2,POINT (-49.20189120586902 -16.68185295),POINT (-49.20189120586902 -16.68185295),-49.20189120586902,-16.68185295
Conjunto Residencial Campus,9.3,POINT (-49.260465 -16.59493),POINT (-49.260465 -16.59493),-49.260465,-16.59493
Conjunto Riviera,4.3,POINT (-49.2102403 -16.6902671),POINT (-49.2102403 -16.6902671),-49.2102403,-16.6902671
Faiçalville,9.5,POINT (-49.3194044 -16.7389535),POINT (-49.3194044 -16.7389535),-49.3194044,-16.7389535
Fazenda Petrópolis - Residencial Monte Verde,9.0,POINT (-49.19099528711491 -16.62207755),POINT (-49.19099528711491 -16.62207755),-49.19099528711491,-16.62207755
Granja Cruzeiro do Sul,5.5,POINT (-49.2827991 -16.6386921),POINT (-49.2827991 -16.6386921),-49.2827991,-16.6386921
Jardim Abaporu,7.7,POINT (-49.1848276 -16.6533612),POINT (-49.1848276 -16.6533612),-49.1848276,-16.6533612
Jardim América,4.9,POINT (-49.2888233 -16.7091245),POINT (-49.2888233 -16.7091245),-49.2888233,-16.7091245
Jardim Ana Lúcia,6.8,POINT (-49.3133528 -16.7006358),POINT (-49.3133528 -16.7006358),-49.3133528,-16.7006358
Jardim Balneário Meia Ponte,7.1,POINT (-49.2956352 -16.6155584),POINT (-49.2956352 -16.6155584),-49.2956352,-16.6155584
Jardim Bela Vista,6.3,POINT (-49.2320472 -16.7335914),POINT (-49.2320472 -16.7335914),-49.2320472,-16.7335914
Jardim Bom Jesus,7.1,POINT (-49.2693493 -16.6161004),POINT (-49.2693493 -16.6161004),-49.2693493,-16.6161004
Jardim Brasil,4.4,POINT (-49.2104549 -16.6950766),POINT (-49.2104549 -16.6950766),-49.2104549,-16.6950766
Jardim Califórnia,4.3,POINT (-49.2068148 -16.6828078),POINT (-49.2068148 -16.6828078),-49.2068148,-16.6828078
Jardim Califórnia Parque Industrial,5.4,POINT (-49.1988511157593 -16.6749342),POINT (-49.1988511157593 -16.6749342),-49.1988511157593,-16.674934200000003
