Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Bairro Capuava,-16.6556515,-49.3232214,Mixirica Alimentação Equilibrada,-16.654318,-49.329273,Vegetarian / Vegan Restaurant
Chácaras São Francisco de Assis,-16.691562,-49.215991,Experiências Gastronómicas Vegetarianas,-16.68586899465252,-49.21657611679148,Vegetarian / Vegan Restaurant
Conjunto Residencial Campus,-16.594929999999998,-49.260465,Jagannatha,-16.60008600832091,-49.25802826881409,Vegetarian / Vegan Restaurant
Jardim Goiás,-16.7024172,-49.2385974,Espaço Vida Saudável Herbalife,-16.706306541085105,-49.240381616406644,Vegetarian / Vegan Restaurant
Jardim Nova Esperança,-16.644773549999996,-49.32415222410732,Restaurante Vegetariano,-16.64901346537927,-49.320843023373,Vegetarian / Vegan Restaurant
Loteamento Mansões Goianas,-16.628135399999998,-49.283511,Mixirica Alimentação Equilibrada,-16.629235063416942,-49.278557718012244,Vegetarian / Vegan Restaurant
Residencial Humaitá,-16.624063699999994,-49.2767066,Mixirica Alimentação Equilibrada,-16.629235063416942,-49.278557718012244,Vegetarian / Vegan Restaurant
Residencial Morada do Bosque,-16.5942039,-49.2594013,Jagannatha,-16.60008600832091,-49.25802826881409,Vegetarian / Vegan Restaurant
Residencial Sonho Verde,-16.68871615,-49.213971029274155,Experiências Gastronómicas Vegetarianas,-16.68586899465252,-49.21657611679148,Vegetarian / Vegan Restaurant
Residencial Sonho Verde Complemento,-16.6860485,-49.212109182565314,Experiências Gastronómicas Vegetarianas,-16.68586899465252,-49.21657611679148,Vegetarian / Vegan Restaurant
Residencial São Geraldo,-16.5965918,-49.261485,Jagannatha,-16.60008600832091,-49.25802826881409,Vegetarian / Vegan Restaurant
Residencial dos Ipês,-16.5955305,-49.25537960000001,Jagannatha,-16.60008600832091,-49.25802826881409,Vegetarian / Vegan Restaurant
Serrinha,-16.7220021,-49.2650535,Café 062,-16.723027,-49.268286,Vegetarian / Vegan Restaurant
Serrinha,-16.7220021,-49.2650535,Vila Verde - Gastronomia Funcional,-16.720982330015776,-49.26860674999929,Vegetarian / Vegan Restaurant
Serrinha,-16.7220021,-49.2650535,Cozinha de Testes da NyceLS,-16.717692924278527,-49.267598390579224,Vegetarian / Vegan Restaurant
Setor Aeroporto,-16.6737673,-49.27098529999999,Nação Verde,-16.67958379743591,-49.269760073240434,Vegetarian / Vegan Restaurant
Setor Alto da Glória,-16.7136742,-49.2390059,DNA Natural,-16.71129848028542,-49.23704284206867,Vegetarian / Vegan Restaurant
Setor Bela Vista,-16.71272535,-49.26124720469418,Be Healthy,-16.708733949122355,-49.26381005607698,Vegetarian / Vegan Restaurant
Setor Bela Vista,-16.71272535,-49.26124720469418,Ponderossa,-16.713936,-49.26646,Vegetarian / Vegan Restaurant
Setor Cândida de Morais,-16.648982,-49.3293609221986,Mixirica Alimentação Equilibrada,-16.654318,-49.329273,Vegetarian / Vegan Restaurant
Setor Marista,-16.699889300000002,-49.2625052,DNA Natural,-16.695495500533543,-49.26548568671734,Vegetarian / Vegan Restaurant
Setor Marista,-16.699889300000002,-49.2625052,Punk Café,-16.700041,-49.258372,Vegetarian / Vegan Restaurant
Setor Marista,-16.699889300000002,-49.2625052,Go Box Food,-16.700302,-49.255991,Vegetarian / Vegan Restaurant
Setor Nova Vila,-16.6582218,-49.2506696,KASSIS Cakes and Cookies,-16.66400783106974,-49.250746736366686,Vegetarian / Vegan Restaurant
Setor Oeste,-16.68122,-49.272167,Nação Verde,-16.67958379743591,-49.269760073240434,Vegetarian / Vegan Restaurant
Vila Divino Pai Eterno,-16.728259599999998,-49.271007,Café 062,-16.723027,-49.268286,Vegetarian / Vegan Restaurant
Vila Maria Luíza,-16.6844567,-49.2177452,Experiências Gastronómicas Vegetarianas,-16.68586899465252,-49.21657611679148,Vegetarian / Vegan Restaurant
Vila Regina,-16.6565951,-49.3333437,Mixirica Alimentação Equilibrada,-16.654318,-49.329273,Vegetarian / Vegan Restaurant
