Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Alphaville Flamboyant Residencial Araguaia,-16.6986528,-49.2131586,Megaburger's,-16.69458185908263,-49.21365251921264,Fast Food Restaurant
Alphaville Flamboyant Residencial Araguaia,-16.6986528,-49.2131586,Panificadora Skina do Pão,-16.69280949869967,-49.212366342544556,Bakery
Alphaville Flamboyant Residencial Araguaia,-16.6986528,-49.2131586,Pizza 10,-16.69314776792602,-49.21292586975903,Pizza Place
Alphaville Flamboyant Residencial Araguaia,-16.6986528,-49.2131586,Pit Dog XGordo,-16.696231171375757,-49.2137076742395,Burger Joint
Alphaville Flamboyant Residencial Araguaia,-16.6986528,-49.2131586,Restaurante e Pizzaria Tan Tan,-16.693422133549955,-49.21147977908212,Brazilian Restaurant
Alphaville Flamboyant Residencial Araguaia,-16.6986528,-49.2131586,Restaurante Comida Caseira,-16.695100831402517,-49.213693218784876,Restaurant
Alphaville Flamboyant Residencial Araguaia,-16.6986528,-49.2131586,Lanchonete União,-16.694897244264343,-49.2134014755811,Bakery
Alphaville Flamboyant Residencial Araguaia,-16.6986528,-49.2131586,Restaurante Ki-Sabor,-16.694588427609634,-49.21433007298594,Brazilian Restaurant
Alphaville Flamboyant Residencial Araguaia,-16.6986528,-49.2131586,Picanha Seixas,-16.69455922572033,-49.21427519591799,Restaurant
Alphaville Flamboyant Residencial Araguaia,-16.6986528,-49.2131586,Padoca do Portuga,-16.694361,-49.213124,Bakery
Alphaville Flamboyant Residencial Araguaia,-16.6986528,-49.2131586,Tan Tan,-16.696435968400266,-49.21902397381712,Brazilian Restaurant
Alphaville Flamboyant Residencial Araguaia,-16.6986528,-49.2131586,Restaurante Frango Assado,-16.69311,-49.210362,Restaurant
Alphaville Flamboyant Residencial Araguaia,-16.6986528,-49.2131586,Cascata Burger's,-16.693054,-49.210374,Burger Joint
Bairro Capuava,-16.6556515,-49.3232214,McDonald's,-16.65381737838854,-49.32880117039478,Fast Food Restaurant
Bairro Capuava,-16.6556515,-49.3232214,Néctar,-16.65381346252793,-49.32878190581086,Fast Food Restaurant
Bairro Capuava,-16.6556515,-49.3232214,Subway,-16.653804086909073,-49.32884892289654,Sandwich Place
Bairro Capuava,-16.6556515,-49.3232214,Store Supermercados,-16.65072318827287,-49.321755683038965,Salad Place
